CASE_ID,COLLISION_DATE,MONTH,HOUR,DAY_OF_WEEK,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,COUNT_PED_KILLED,COUNT_BICYCLIST_KILLED,COUNT_MC_KILLED,STWD_VEHTYPE_AT_FAULT,COUNTY
9609301,2023-07-12,7,13,3,minor injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609303,2023-07-19,7,20,3,possible injury,0,2,unsafe speed,rear end,no,no,yes,0,0,2,0,0,0,Not Stated,SAN DIEGO
9609304,2023-07-14,7,7,5,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609305,2023-07-17,7,11,1,possible injury,0,2,unsafe speed,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609306,2023-07-20,7,13,4,possible injury,0,1,automobile right of way,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609308,2023-07-18,7,15,2,possible injury,0,2,unsafe starting or backing,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609325,2023-07-11,7,17,2,minor injury,0,1,other than driver or pedestrian,other,no,yes,no,0,1,0,0,0,0,Not Stated,SAN DIEGO
9609326,2023-07-24,7,10,1,minor injury,0,1,unsafe speed,rear end,no,yes,no,0,1,0,0,0,0,Not Stated,SAN DIEGO
9609327,2023-07-21,7,8,5,possible injury,0,1,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609328,2023-07-24,7,11,1,minor injury,0,1,improper turning,other,no,yes,no,0,1,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609329,2023-07-29,7,22,6,possible injury,0,1,automobile right of way,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609330,2023-07-05,7,10,3,minor injury,0,1,automobile right of way,broadside,no,no,yes,0,0,1,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609331,2023-07-07,7,21,5,possible injury,0,1,DUI,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609332,2023-07-28,7,16,5,possible injury,0,1,unknown,sideswipe,no,no,yes,0,0,1,0,0,0,Not Stated,SAN DIEGO
9609333,2023-07-21,7,16,5,possible injury,0,1,unsafe speed,broadside,no,no,yes,0,0,1,0,0,0,Motorcycle/Scooter,SAN DIEGO
9609334,2023-07-07,7,16,5,possible injury,0,1,improper turning,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609335,2023-07-29,7,19,6,possible injury,0,1,improper turning,vehicle/pedestrian,no,yes,no,0,1,0,0,0,0,Not Stated,SAN DIEGO
9609336,2023-07-29,7,13,6,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609337,2023-07-28,7,15,5,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609338,2023-07-24,7,20,1,possible injury,0,3,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
